0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,embedding
0.77508384,-1.5899578,-1.6047248,0.034595393,-0.12741344,1.2380675,0.15154152,0.6156255,0.5810108,-0.21189049,0.21544267,1.2980826,0.9302693,-1.126866,0.5664531,-0.7317303,0.35314506,0.206189,0.35653716,0.53855765,0.6865125,1.1413028,1.396194,-0.21099153,-0.34120116,1.5000232,-0.324502,-0.18748496,0.5092569,-0.44535565,-0.80818486,-0.75162774,0.54309905,0.32655764,0.39767992,1.1778765,1.2665883,-0.15754014,-0.041926797,0.0401165,-0.14263238,-0.14254682,1.2947503,-1.1536679,-0.44611123,-0.38772982,0.2825378,0.50097203,-1.6191546,0.060705747,-0.18278705,-0.23060817,-1.5454096,-0.022459967,0.30720085,-0.7092116,0.30930424,1.1879851,0.3442019,0.0646966,-0.45172414,-1.7047921,0.38283053,-1.2854899,0.20981856,-0.22774161,-1.0394549,0.2466566,0.06645647,2.0963247,0.15834798,0.61470866,0.5625862,-0.065443054,-0.9790113,-0.1511338,-0.90734845,0.3134686,-0.35696927,-0.4181911,2.290877,0.21029016,0.69146925,-0.6085182,0.5099296,1.142584,-0.78723174,-0.4766872,-0.4863567,-0.4601489,1.3073227,0.098180555,-0.7818308,0.0869506,-0.38134968,-1.286214,0.37524223,-0.23869787,-0.4577712,0.13403055,E
-1.2334716,-0.6044697,0.8600371,-0.79097134,1.6318715,-0.9634063,0.11770379,1.2201012,-0.42361003,-0.33364648,0.4656781,-0.43667513,1.4085737,1.2257696,-1.4470619,0.7790747,0.04682475,1.2006458,-2.0974712,-0.5371542,-0.32014182,0.8704714,-0.77611643,0.885564,0.739205,0.999486,-0.07987448,1.0384177,-0.2984224,0.48725247,-0.2896839,-0.57235944,0.52242374,1.7584924,-0.44080287,0.94152576,-0.7713255,-0.6044471,0.12551107,-0.24031253,-0.19763294,0.40924123,0.26040164,-0.9533655,-0.13576199,0.22513162,0.50478953,-0.59011304,0.53934026,0.61839664,-0.6177363,1.380578,0.6271748,-0.61699104,0.42835587,-1.0835689,0.0071769124,1.7449347,0.43804199,0.62515223,-0.7276791,0.5860021,0.8293942,0.36325595,1.118777,0.20664136,-0.10294513,0.5478608,-2.0570352,0.89974815,-0.34918997,0.7632383,0.10125138,0.3395626,-0.50886005,-0.16712491,0.19109836,0.4476402,-0.008627237,2.4521384,0.4156468,-0.008791153,0.5673428,-1.6262593,-0.54835904,-1.0110356,-0.7623702,0.19161688,2.0127475,-1.1998918,-1.0167952,1.3257887,0.7450316,-1.228246,1.3633581,-0.6328388,-0.25516647,-1.6435554,-0.61540806,-0.54120106,A
-0.81675327,0.2703501,0.36458433,-0.22621042,0.060533736,0.5330047,0.1688876,-0.41875213,1.344888,1.7079719,1.419352,-2.1855323,-0.26962608,0.8391724,0.8645828,0.047749422,1.3378514,0.03606424,-1.0428826,0.304409,0.86418253,-1.096268,-0.5524161,0.1928592,-0.36603802,-1.4923786,-0.88431484,-0.97386175,-0.53525823,-1.412196,1.2682863,-0.19398738,0.33675286,-1.4311635,-0.25142398,0.09127561,-0.9486549,0.14664182,-0.3481429,0.17770915,2.0648165,-0.8627581,-1.4886714,0.6894809,-1.2452377,0.7019594,-0.50289845,0.3856729,0.14895953,-1.5408543,0.29554224,0.028264808,-0.21275812,-1.290118,-1.5107989,0.69421357,1.0900773,-0.71176785,1.7442213,1.4977169,0.9823648,-0.3588313,0.009385769,-1.0002005,-1.7989826,1.0294877,1.3693228,-0.8540063,0.90853137,-0.22639863,-0.0012510698,-0.32545882,0.56356436,0.9050846,-0.16120294,-0.8388631,-0.29020932,0.3833354,0.8460411,1.4209142,0.56033105,0.45979816,-0.5801658,-0.827881,-1.6600245,-2.2806513,-0.8028542,1.273922,-0.71913826,-0.12549722,-0.100056246,0.029602652,0.792265,1.4768333,0.21610719,0.6588999,0.7369952,-1.202941,-0.5376883,1.2074072,D
0.004389362,-0.70623493,-0.26221612,-0.26085895,0.030082205,-0.79503375,-1.0873891,-0.83608156,0.36751187,0.17909475,-0.06379266,0.70666474,0.54754573,-0.45162764,0.11950795,-1.5705453,-0.93619114,0.9379787,0.17140554,-0.78398377,0.5157516,-1.2023644,-0.47504896,0.95300114,-0.3446683,-0.32886782,-0.89900804,-0.22283849,-0.600928,1.6675981,-0.5862,1.3280338,-1.8364784,-0.5932041,-0.953591,-1.0500137,-0.1508139,-0.38909313,0.12491738,0.92649907,2.2910066,-0.10937752,0.72812957,-0.87302107,-0.7446658,0.2606589,0.94403034,1.2658135,-0.49225312,-2.1109538,0.12920281,2.055425,-0.10374377,-0.95601225,0.016497362,0.6033007,-0.38228595,1.9744418,-0.09208804,0.0021479935,-0.084356666,-0.4638877,-0.35465565,-0.1916845,1.3476148,0.18296787,-1.2043952,-0.9328221,-0.70185786,-1.0006948,2.0264244,0.09616152,-0.10015857,-1.7200334,-2.0798912,-0.8911681,-0.15874085,-0.9711959,-1.0502161,0.32394508,1.2363988,-0.55694515,0.5392871,0.35781145,0.17672116,-0.7512973,1.3228489,0.010471859,-0.39833152,-1.0545604,0.63697857,0.52828753,0.6617958,0.6429042,-0.11807001,-0.72415715,-0.18966939,0.5911394,0.56161124,-0.79306054,M
0.060189076,-0.4065178,-3.0390532,-1.4005188,-0.9001572,-1.8737572,-0.14973556,0.39771342,0.47980705,-1.1037974,-0.1652801,-1.0408984,0.076687485,0.315681,1.5382543,-0.43213794,-0.64614314,0.14393573,0.5344283,-1.0404673,1.1163366,0.7583003,0.9668218,-1.801064,-2.212678,0.762379,-0.73081124,-1.5735309,-1.2351109,-0.13482596,-0.8743536,-0.06512149,-0.94690293,0.79102707,-0.08541317,0.42975765,-1.2171065,0.54627824,1.0720141,1.663236,-0.42930964,1.4472266,-1.213814,0.19603463,0.27803788,0.30404136,-0.22328159,-1.7905147,-0.032271393,-0.10522138,-0.2153541,-0.7582555,-0.31798905,0.8636501,-0.95542747,0.54858804,-0.0033848393,1.1784368,-0.06813054,0.31067914,-0.10141229,-0.63348585,0.6758129,-0.841922,0.11655486,0.4458315,-1.5240893,-0.51141804,-0.6752484,0.17112258,-0.1552353,1.0816514,-0.8062443,0.34861434,-0.07123212,1.402354,1.3825493,0.27897277,0.11598745,-0.1314287,0.599092,-0.8031752,1.0324531,-0.3475657,0.14852098,-0.84953976,0.57820743,0.31465274,-0.007509452,-0.1777378,-1.3089904,1.2577327,0.46059948,-0.973854,1.8367811,1.1626226,-0.8165475,-1.1299527,-0.20632705,-0.40267226,S
0.49012718,1.6000121,-1.5215931,1.6140497,-1.4972255,0.44849637,-0.22355044,-0.8837685,1.7002268,-0.226149,0.97296375,-1.2208309,-1.089872,-0.32675195,0.68227965,0.83616126,-0.7789167,0.41858134,-0.06902978,-1.1629472,0.7290756,0.19156721,-0.10855099,0.3889672,0.565163,0.96164834,-0.07951431,0.106744766,-1.6132798,-0.5071498,0.81637466,-0.15232423,-0.2929361,-0.67608637,-2.107492,0.9963237,-0.8062728,0.42936435,0.1816206,0.309237,-1.5212402,-1.013167,0.6392638,0.5459032,-0.90098435,0.15352431,0.062062692,-0.2933518,0.90911114,1.1256884,-0.17039953,-0.46662593,-0.7656317,-0.14883973,0.4567976,1.6452345,-0.5669108,0.77992123,0.55626726,-0.70729613,-1.0144459,-0.17547671,1.4473124,0.09271184,-0.8251689,0.704491,1.0280662,-0.5182069,0.8784508,-1.4251758,0.5456421,1.1781852,-0.044078514,-0.2110331,1.4703534,1.3739028,-0.2813346,0.49861547,-1.4536824,-1.2705214,2.4510965,1.7398661,0.6173877,-0.6163214,0.08034552,0.4611967,-0.64293236,0.52620965,-0.8524997,-0.6026095,0.17232884,0.08162283,0.7887875,-0.44674096,-0.66444755,-0.98851436,0.17577462,-0.6705859,-0.7842163,0.021925263,F
0.7687592,-0.79898775,1.0260108,0.29367927,-1.4691211,0.55885196,-0.9911525,-1.2205168,0.4503047,1.1140491,0.25051472,-0.81159985,1.0670965,-0.70851016,-1.8332287,-0.007563469,-1.733975,1.759339,-0.2484822,0.068146385,1.3755151,1.560552,-1.1202239,-0.22863232,-0.6360611,-0.5018866,1.7036561,0.961542,0.10857156,-0.29721317,0.7230668,-1.8050014,-0.9324207,-1.3525387,0.0493956,1.0579803,-0.84819216,-0.0076220906,0.5289727,0.59923404,0.634596,-0.35555702,-0.1472411,1.8537791,-2.6716607,-0.18652676,0.2593166,1.0497459,-1.0140918,0.5203653,0.32236475,1.8063288,-1.263282,0.18198723,0.78085303,0.5941847,-0.2721739,-0.7482086,-0.22809955,1.387749,-2.493656,-1.5478663,0.80291986,-0.23394355,-0.41608694,0.6866525,1.0819103,-2.383798,-1.9674138,0.8698989,0.7259267,-0.21595903,0.21413812,-0.95078176,-1.0469427,1.134728,0.57470614,-2.798143,-0.114413776,0.07684719,1.1461986,0.20055169,-0.6202411,1.1798306,2.1431308,0.29809052,0.084377706,-1.4441812,0.09572318,-1.522485,-1.3172485,-0.28565204,0.35722223,-0.7021621,-0.646684,-0.5468691,0.3194427,-0.09413738,-0.010721339,-1.0796695,Y
-0.1391209,0.36556715,1.5141954,0.31109336,-0.88113177,0.07853986,-1.7302597,-1.5617456,0.048322156,1.6839534,2.3224418,0.17389536,1.2607647,-0.353953,1.1782312,-0.6153286,-1.1149848,-0.13471416,-1.6338259,0.3572132,-0.7613328,-1.2012553,1.6549711,1.0784786,-0.26518157,0.1244325,0.6748388,0.5444161,0.55735594,0.3903545,1.3966933,-0.49918222,-1.5384223,-0.3659221,0.112378135,-0.24811184,-1.2270845,0.9881142,-1.3471011,1.0221567,-0.43213752,-0.895403,1.5391126,0.5045488,-0.85892427,0.2406211,0.30982393,-0.5797088,1.3039845,-0.5502909,1.0550568,-0.5086368,-0.14970478,-2.0493615,-1.2655921,0.14238396,-0.7345293,0.8852305,-0.16797349,-1.6220173,-1.7631859,-0.009097794,-1.5118623,-0.42733032,1.6183852,-0.10315471,0.10934509,0.20755285,-0.7884778,-0.70127577,1.1029139,0.37483147,-1.5060529,-0.82958275,1.1499718,0.30837142,0.87158465,0.7042877,-0.13518451,0.04269249,-0.11242322,-0.13024746,-0.06388567,-0.5404497,0.6887083,-1.0960017,-1.4551271,1.2535579,1.1545782,-0.7197813,1.3459835,-0.0073586022,0.1759977,-0.14151669,-0.5161245,1.3535044,-1.6066599,0.4799225,0.34933513,-0.48098424,C
-0.20848058,0.78256685,0.58233714,0.3392719,-0.79735565,-0.47612754,0.97537255,-0.7099992,-2.3932014,0.31463352,-1.8129205,0.930528,-0.59966725,0.4411429,-0.30167064,0.8295608,0.7822944,-0.9994643,0.032542776,0.9210774,-0.5242654,0.8717189,0.72628784,-0.017219288,-1.3191717,-1.1672394,1.0752124,-1.6235578,0.6960645,-1.6544113,1.3466171,1.3836625,0.15770093,-0.6531995,-0.17563593,0.71510494,0.07342759,-0.7558262,-1.4986978,0.0035384523,-0.18904838,-0.35811672,0.053654704,-0.67599237,0.8825249,0.44474268,0.3790488,1.0221803,-1.264316,0.11515105,-1.179305,-0.2096468,-0.30112198,0.6860833,-0.5532696,0.9349969,1.8888764,-0.77101856,0.26128012,0.7667873,1.5682784,-0.8610768,-0.6064615,-0.022807486,0.29273745,-0.866792,0.00523269,0.54499567,-0.82038975,1.211994,-0.48254943,0.39774612,0.55071497,0.5517533,-0.2482734,-0.87558943,-0.67942506,-1.4008075,1.3113034,-1.2521657,-1.6881831,-0.08590591,0.7521947,0.44975594,-0.96048105,1.9995542,-0.41798863,1.1145205,0.61000454,-0.79815686,1.0512923,-0.9068611,0.03402972,-0.09646104,0.80860627,-0.90811765,-1.2032024,0.9081241,0.36727452,-0.17570913,H
0.3684646,0.08359064,2.076337,-0.4971905,-0.8679019,-0.8637971,-1.830812,0.9384027,-0.178435,1.246003,-2.649949,1.1067986,2.1320128,-0.76143885,-0.6221487,0.22236337,-0.6827015,-0.394825,1.1799173,0.08883413,-0.07148835,-1.9135469,0.055325534,-0.5868526,-1.0932181,-0.5259432,-0.5745601,1.3225434,-0.35704514,3.755278,-0.9423502,-0.6363829,-1.1796007,0.43599206,1.0230808,-1.0818549,0.5298608,0.7697972,0.44835302,-0.8813059,-0.18340306,1.1437309,-0.6199616,-1.1663492,-1.0569514,-0.36857435,0.16944107,-0.8361987,-1.0746617,0.93099636,-1.4053068,0.5456083,0.4214431,1.8276198,0.31094706,0.49008435,0.051910978,2.0052388,-0.57581484,1.5015336,-1.1774266,0.54996353,-0.2640022,-0.831541,0.65643924,0.5236687,-0.8382987,-0.73288614,-2.8207357,0.6390239,-0.5981328,-1.0180174,0.24402028,-0.85123247,-0.37745255,0.71409297,-1.4715365,0.34780356,0.7328052,0.031001821,-0.46364447,0.14020346,-0.6594153,-0.3943829,0.07204253,-0.2271488,1.9671377,0.69594616,0.69252765,0.44448087,0.023472706,-0.21100979,-0.84324014,0.20137867,0.26702833,-1.8924131,0.98956656,-0.35819933,-0.33092016,2.008182,N
